passengerCount,WIFIAPTag,slice10min
6.5,E1-1A-1<E1-1-01>,2016-09-25-15-0
8.1,E1-1A-1<E1-1-01>,2016-09-25-15-1
9.7,E1-1A-1<E1-1-01>,2016-09-25-15-2
10.6,E1-1A-1<E1-1-01>,2016-09-25-15-3
12.1,E1-1A-1<E1-1-01>,2016-09-25-15-4
14.1,E1-1A-1<E1-1-01>,2016-09-25-15-5
13.5,E1-1A-1<E1-1-01>,2016-09-25-16-0
12.7,E1-1A-1<E1-1-01>,2016-09-25-16-1
12.4,E1-1A-1<E1-1-01>,2016-09-25-16-2
12.3,E1-1A-1<E1-1-01>,2016-09-25-16-3
10.9,E1-1A-1<E1-1-01>,2016-09-25-16-4
9.3,E1-1A-1<E1-1-01>,2016-09-25-16-5
8.6,E1-1A-1<E1-1-01>,2016-09-25-17-0
8.5,E1-1A-1<E1-1-01>,2016-09-25-17-1
8.2,E1-1A-1<E1-1-01>,2016-09-25-17-2
8.4,E1-1A-1<E1-1-01>,2016-09-25-17-3
10.9,E1-1A-1<E1-1-01>,2016-09-25-17-4
13.7,E1-1A-1<E1-1-01>,2016-09-25-17-5
15.6,E1-1A-1<E1-1-01>,2016-09-25-18-0
14.7,E1-1A-1<E1-1-01>,2016-09-25-18-1
11.3,E1-1A-1<E1-1-01>,2016-09-25-18-2
9.7,E1-1A-1<E1-1-01>,2016-09-25-18-3
8.3,E1-1A-1<E1-1-01>,2016-09-25-18-4
9.0,E1-1A-1<E1-1-01>,2016-09-25-18-5
4.1,E1-1A-2<E1-1-02>,2016-09-25-15-0
4.5,E1-1A-2<E1-1-02>,2016-09-25-15-1
5.8,E1-1A-2<E1-1-02>,2016-09-25-15-2
7.2,E1-1A-2<E1-1-02>,2016-09-25-15-3
7.8,E1-1A-2<E1-1-02>,2016-09-25-15-4
7.7,E1-1A-2<E1-1-02>,2016-09-25-15-5
8.3,E1-1A-2<E1-1-02>,2016-09-25-16-0
8.7,E1-1A-2<E1-1-02>,2016-09-25-16-1
7.8,E1-1A-2<E1-1-02>,2016-09-25-16-2
7.0,E1-1A-2<E1-1-02>,2016-09-25-16-3
7.0,E1-1A-2<E1-1-02>,2016-09-25-16-4
